,date,open,close,high,low,volume,code
0,2006-12-20,4.347,4.715,4.95,4.132,1398006.73,601991
1,2006-12-21,4.62,4.401,4.62,4.38,560508.79,601991
2,2006-12-22,4.334,4.165,4.334,4.091,385129.17,601991
3,2006-12-25,4.132,4.198,4.206,4.091,201834.76,601991
4,2006-12-26,4.19,4.173,4.301,4.144,168101.54,601991
5,2006-12-27,4.132,4.372,4.376,4.132,242432.18,601991
6,2006-12-28,4.355,4.252,4.491,4.223,209391.83,601991
7,2006-12-29,4.26,4.264,4.339,4.194,180949.28,601991
8,2007-01-04,4.227,4.306,4.463,4.177,321671.76,601991
9,2007-01-05,4.277,4.409,4.467,4.223,297661.5,601991
10,2007-01-08,4.442,4.425,4.508,4.363,222131.2,601991
11,2007-01-09,4.442,4.487,4.504,4.384,221609.17,601991
12,2007-01-10,4.491,4.483,4.508,4.413,189961.61,601991
13,2007-01-11,4.438,4.653,4.694,4.363,405388.83,601991
14,2007-01-12,4.624,4.409,4.624,4.405,250863.27,601991
15,2007-01-15,4.38,4.479,4.496,4.339,144078.11,601991
16,2007-01-16,4.504,4.458,4.52,4.363,174381.87,601991
17,2007-01-17,4.458,4.376,4.496,4.339,167309.28,601991
18,2007-01-18,4.405,4.392,4.45,4.301,108258.73,601991
19,2007-01-19,4.38,4.454,4.483,4.363,158780.3,601991
20,2007-01-22,4.487,4.611,4.648,4.487,264417.14,601991
21,2007-01-23,4.611,4.545,4.636,4.442,181139.37,601991
22,2007-01-24,4.545,4.764,4.88,4.545,332469.94,601991
23,2007-01-25,4.702,4.64,4.867,4.607,253143.49,601991
24,2007-01-26,4.566,4.636,4.694,4.417,168931.1,601991
25,2007-01-29,4.673,4.682,4.748,4.591,151461.84,601991
26,2007-01-30,4.735,4.582,4.739,4.545,130563.32,601991
27,2007-01-31,4.582,4.467,4.677,4.434,129721.38,601991
28,2007-02-01,4.425,4.434,4.504,4.314,89152.46,601991
29,2007-02-02,4.429,4.268,4.45,4.244,84394.38,601991
30,2007-02-05,4.256,4.227,4.289,4.186,61543.0,601991
31,2007-02-06,4.256,4.301,4.314,4.165,61032.94,601991
32,2007-02-07,4.339,4.314,4.359,4.277,68757.72,601991
33,2007-02-08,4.334,4.396,4.401,4.264,83125.96,601991
34,2007-02-09,4.388,4.549,4.574,4.339,142298.9,601991
35,2007-02-12,4.644,4.62,4.661,4.549,190803.09,601991
36,2007-02-13,4.628,4.582,4.628,4.558,85046.23,601991
37,2007-02-14,4.586,4.607,4.628,4.578,96892.22,601991
38,2007-02-15,4.615,4.648,4.69,4.599,126009.46,601991
39,2007-02-16,4.669,4.615,4.682,4.57,137324.58,601991
40,2007-02-26,4.62,4.958,5.0,4.558,337632.84,601991
41,2007-02-27,5.02,4.471,5.041,4.463,367732.13,601991
