,date,open,close,high,low,volume,code
0,2008-09-25,8.539,9.026,10.235,8.539,363890.58,002274
1,2008-09-26,8.149,8.124,8.417,8.124,164220.86,002274
2,2008-10-06,7.447,7.31,7.666,7.31,128640.34,002274
3,2008-10-07,7.116,7.271,7.471,7.067,65287.8,002274
4,2008-10-08,7.301,7.554,7.695,7.252,94548.15,002274
5,2008-10-09,7.554,7.057,7.579,7.057,71804.32,002274
6,2008-10-10,6.643,6.35,6.716,6.35,65210.76,002274
7,2008-10-13,6.18,6.399,6.409,5.936,54407.68,002274
8,2008-10-14,6.628,6.014,6.716,5.999,71148.88,002274
9,2008-10-15,5.985,6.048,6.165,5.692,52594.69,002274
10,2008-10-16,5.653,5.444,5.8,5.444,42179.07,002274
11,2008-10-17,5.546,5.337,5.556,5.264,44473.27,002274
12,2008-10-20,5.244,5.58,5.644,5.244,36783.93,002274
13,2008-10-21,5.585,5.629,5.824,5.527,51392.74,002274
14,2008-10-22,5.561,5.688,5.921,5.454,57256.18,002274
15,2008-10-23,5.512,5.775,5.79,5.463,37186.0,002274
16,2008-10-24,5.775,5.897,6.077,5.731,52183.04,002274
17,2008-10-27,5.775,5.39,5.839,5.361,47195.93,002274
18,2008-10-28,5.278,5.722,5.741,5.268,47879.42,002274
19,2008-10-29,5.834,5.571,5.97,5.571,58371.11,002274
20,2008-10-30,5.634,5.692,5.829,5.507,33772.79,002274
21,2008-10-31,5.692,5.473,5.712,5.42,27983.44,002274
22,2008-11-03,5.458,5.361,5.493,5.327,25392.59,002274
23,2008-11-04,5.312,4.976,5.395,4.952,34140.29,002274
24,2008-11-05,5.069,5.21,5.298,5.039,33427.55,002274
25,2008-11-06,5.02,4.966,5.059,4.927,23234.49,002274
26,2008-11-07,4.874,5.098,5.176,4.83,24042.99,002274
27,2008-11-10,5.215,5.58,5.59,5.171,49827.14,002274
28,2008-11-11,5.458,5.439,5.663,5.424,44981.24,002274
29,2008-11-12,5.371,5.858,5.965,5.371,63103.49,002274
30,2008-11-13,5.751,6.107,6.238,5.717,87381.78,002274
31,2008-11-14,6.238,6.384,6.423,6.043,81425.21,002274
32,2008-11-17,6.248,6.935,7.008,6.248,75318.18,002274
33,2008-11-18,6.779,6.316,7.31,6.248,95141.24,002274
34,2008-11-19,6.253,6.945,6.95,6.253,69612.82,002274
35,2008-11-20,6.755,6.672,7.067,6.628,64825.04,002274
36,2008-11-24,6.57,6.194,6.794,6.19,45898.24,002274
37,2008-11-25,6.341,6.073,6.433,5.897,37816.7,002274
38,2008-11-26,6.073,6.155,6.311,6.029,28451.43,002274
39,2008-11-27,6.628,6.214,6.653,6.199,51872.34,002274
40,2008-11-28,6.141,6.029,6.204,5.956,26271.83,002274
41,2008-12-01,6.004,6.433,6.487,5.975,35165.2,002274
