,date,open,close,high,low,volume,code
0,2006-11-16,2.799,2.451,2.877,2.443,209510.65,002079
1,2006-11-17,2.366,2.237,2.366,2.214,97299.88,002079
2,2006-11-20,2.202,2.157,2.202,2.103,46957.53,002079
3,2006-11-21,2.14,2.264,2.29,2.138,53229.07,002079
4,2006-11-22,2.257,2.257,2.34,2.179,53180.09,002079
5,2006-11-23,2.239,2.315,2.358,2.208,43884.68,002079
6,2006-11-24,2.284,2.274,2.319,2.249,21009.9,002079
7,2006-11-27,2.294,2.274,2.294,2.229,18403.76,002079
8,2006-11-28,2.264,2.235,2.264,2.222,15155.02,002079
9,2006-11-29,2.235,2.239,2.241,2.196,12929.82,002079
10,2006-11-30,2.241,2.224,2.249,2.21,19976.77,002079
11,2006-12-01,2.231,2.192,2.233,2.175,31183.49,002079
12,2006-12-04,2.202,2.227,2.247,2.192,22704.44,002079
13,2006-12-05,2.224,2.22,2.247,2.198,19430.16,002079
14,2006-12-06,2.206,2.387,2.436,2.202,75147.93,002079
15,2006-12-07,2.362,2.35,2.445,2.344,40245.62,002079
16,2006-12-08,2.323,2.206,2.34,2.181,21204.68,002079
17,2006-12-11,2.189,2.243,2.243,2.189,9682.59,002079
18,2006-12-12,2.255,2.218,2.284,2.198,9744.9,002079
19,2006-12-13,2.216,2.227,2.243,2.202,8857.17,002079
20,2006-12-14,2.235,2.229,2.237,2.21,8486.86,002079
21,2006-12-15,2.235,2.272,2.284,2.218,14314.38,002079
22,2006-12-18,2.264,2.276,2.299,2.241,14075.96,002079
23,2006-12-19,2.274,2.307,2.317,2.243,15550.9,002079
24,2006-12-20,2.305,2.307,2.323,2.264,14207.86,002079
25,2006-12-21,2.305,2.245,2.313,2.233,17378.84,002079
26,2006-12-22,2.231,2.202,2.251,2.202,13461.5,002079
27,2006-12-25,2.198,2.202,2.229,2.194,8312.56,002079
28,2006-12-26,2.206,2.196,2.231,2.152,10375.51,002079
29,2006-12-27,2.196,2.177,2.218,2.171,5476.0,002079
30,2006-12-28,2.173,2.099,2.181,2.078,13754.69,002079
31,2006-12-29,2.105,2.115,2.136,2.093,9488.72,002079
32,2007-01-04,2.091,2.095,2.13,2.087,9242.3,002079
33,2007-01-05,2.095,2.138,2.15,2.074,7372.09,002079
34,2007-01-08,2.138,2.194,2.194,2.138,9911.43,002079
35,2007-01-09,2.196,2.247,2.255,2.181,21847.13,002079
36,2007-01-10,2.255,2.282,2.286,2.202,24845.89,002079
37,2007-01-11,2.297,2.264,2.323,2.249,28600.53,002079
38,2007-01-12,2.253,2.144,2.253,2.142,23962.93,002079
39,2007-01-15,2.134,2.212,2.218,2.124,12281.76,002079
40,2007-01-16,2.212,2.235,2.239,2.181,16531.02,002079
41,2007-01-17,2.235,2.235,2.297,2.187,23646.2,002079
42,2007-01-18,2.235,2.329,2.336,2.22,31249.91,002079
43,2007-01-19,2.344,2.412,2.434,2.342,37157.92,002079
44,2007-01-22,2.494,2.589,2.632,2.494,49572.54,002079
45,2007-01-23,2.603,2.558,2.609,2.469,31741.43,002079
46,2007-01-24,2.541,2.55,2.603,2.511,15073.91,002079
47,2007-01-25,2.529,2.387,2.529,2.369,22089.73,002079
48,2007-01-26,2.366,2.379,2.387,2.286,15685.31,002079
49,2007-01-29,2.387,2.447,2.463,2.387,15117.66,002079
50,2007-01-30,2.453,2.387,2.453,2.371,14793.5,002079
51,2007-02-01,2.27,2.303,2.336,2.255,15747.02,002079
52,2007-02-02,2.319,2.268,2.356,2.264,9815.94,002079
53,2007-02-05,2.268,2.301,2.311,2.266,6304.99,002079
54,2007-02-06,2.305,2.35,2.356,2.301,7716.87,002079
55,2007-02-07,2.352,2.366,2.383,2.346,8671.3,002079
56,2007-02-08,2.366,2.358,2.377,2.325,11073.0,002079
57,2007-02-09,2.358,2.34,2.377,2.325,8699.49,002079
58,2007-02-12,2.356,2.412,2.42,2.336,14087.35,002079
59,2007-02-13,2.408,2.377,2.408,2.334,19735.23,002079
60,2007-02-14,2.379,2.428,2.459,2.366,18253.31,002079
61,2007-02-15,2.428,2.447,2.467,2.41,19451.31,002079
62,2007-02-16,2.43,2.486,2.531,2.416,41854.89,002079
63,2007-02-26,2.5,2.548,2.552,2.428,40925.15,002079
64,2007-02-27,2.55,2.323,2.56,2.305,40914.44,002079
65,2007-02-28,2.315,2.41,2.42,2.315,18047.29,002079
66,2007-03-01,2.412,2.352,2.414,2.325,17001.91,002079
67,2007-03-02,2.352,2.377,2.383,2.325,15195.35,002079
68,2007-03-05,2.362,2.354,2.391,2.313,15765.35,002079
69,2007-03-06,2.336,2.356,2.366,2.317,10584.27,002079
70,2007-03-07,2.366,2.443,2.443,2.356,23251.48,002079
71,2007-03-08,2.438,2.467,2.467,2.42,19713.92,002079
72,2007-03-09,2.467,2.445,2.48,2.428,19313.93,002079
73,2007-03-12,2.445,2.523,2.525,2.445,28244.77,002079
74,2007-03-13,2.531,2.498,2.548,2.486,22101.28,002079
75,2007-03-14,2.49,2.445,2.492,2.387,19482.72,002079
76,2007-03-15,2.445,2.583,2.589,2.445,48855.19,002079
77,2007-03-16,2.545,2.465,2.548,2.434,32688.1,002079
78,2007-03-19,2.418,2.484,2.527,2.391,20936.03,002079
79,2007-03-20,2.486,2.566,2.601,2.486,28257.97,002079
80,2007-03-21,2.632,2.593,2.632,2.535,26394.96,002079
81,2007-03-22,2.591,2.56,2.615,2.552,29807.9,002079
82,2007-03-23,2.552,2.591,2.605,2.527,20188.5,002079
83,2007-03-26,2.597,2.768,2.829,2.597,60097.76,002079
84,2007-03-27,2.747,2.825,2.85,2.706,34459.81,002079
85,2007-03-28,2.805,2.84,2.912,2.737,49449.3,002079
86,2007-03-29,2.836,2.737,2.871,2.737,33339.62,002079
87,2007-03-30,2.725,2.741,2.78,2.696,14439.89,002079
88,2007-04-02,2.741,2.817,2.832,2.733,14466.9,002079
89,2007-04-03,2.838,2.815,2.85,2.77,15069.67,002079
90,2007-04-04,2.823,2.799,2.856,2.774,16955.55,002079
91,2007-04-05,2.799,2.799,2.809,2.737,20234.06,002079
92,2007-04-06,2.768,2.79,2.84,2.768,16162.75,002079
93,2007-04-09,2.79,2.875,2.901,2.79,27910.71,002079
94,2007-04-10,2.879,2.881,2.901,2.794,22037.03,002079
95,2007-04-11,2.901,2.86,2.901,2.819,21087.74,002079
96,2007-04-12,2.86,2.908,2.978,2.85,25463.13,002079
97,2007-04-13,2.918,2.862,2.918,2.85,27739.69,002079
98,2007-04-16,2.862,2.928,2.939,2.862,29227.13,002079
99,2007-04-17,2.939,2.918,2.943,2.819,26658.97,002079
100,2007-04-18,2.92,2.943,3.011,2.901,33548.02,002079
101,2007-04-19,2.926,2.799,2.932,2.757,40847.7,002079
102,2007-04-20,2.819,2.877,2.895,2.809,38938.08,002079
103,2007-04-23,2.881,2.984,3.002,2.881,36938.89,002079
104,2007-04-24,2.986,2.932,3.06,2.932,48542.86,002079
105,2007-04-25,2.901,2.955,2.984,2.821,32155.93,002079
106,2007-04-26,2.955,3.017,3.052,2.955,34173.17,002079
107,2007-04-27,3.015,2.947,3.056,2.918,26428.02,002079
108,2007-04-30,2.943,2.901,2.943,2.877,23432.8,002079
109,2007-05-08,2.943,3.006,3.021,2.901,36084.68,002079
110,2007-05-09,3.006,2.953,3.008,2.881,29165.75,002079
111,2007-05-10,2.953,2.986,3.041,2.926,29326.7,002079
112,2007-05-11,2.961,2.922,2.984,2.86,20120.22,002079
113,2007-05-14,2.86,2.881,2.922,2.842,20567.41,002079
114,2007-05-15,2.904,2.782,2.934,2.782,26527.94,002079
115,2007-05-16,2.788,2.819,2.84,2.737,17331.47,002079
116,2007-05-17,2.848,2.871,2.879,2.817,18720.24,002079
117,2007-05-18,2.869,2.895,2.932,2.854,19925.84,002079
118,2007-05-21,2.801,2.941,2.982,2.801,28854.07,002079
119,2007-05-22,2.961,2.961,3.017,2.918,23033.16,002079
120,2007-05-23,2.971,3.247,3.251,2.945,50527.37,002079
121,2007-05-24,3.231,3.21,3.311,3.097,54719.69,002079
122,2007-05-25,3.171,3.307,3.412,3.171,48815.51,002079
123,2007-05-28,3.342,3.313,3.389,3.303,30985.85,002079
124,2007-05-29,3.315,3.375,3.445,3.295,28065.19,002079
125,2007-05-30,3.169,3.037,3.278,3.037,38916.44,002079
126,2007-05-31,3.021,2.871,3.023,2.733,33048.21,002079
127,2007-06-01,2.85,2.7,2.941,2.696,28697.5,002079
128,2007-06-05,2.43,2.564,2.603,2.43,32699.63,002079
129,2007-06-06,2.564,2.605,2.731,2.502,22550.61,002079
130,2007-06-07,2.63,2.681,2.69,2.589,22097.48,002079
131,2007-06-08,2.702,2.735,2.774,2.655,20798.49,002079
132,2007-06-11,2.735,2.725,2.768,2.677,19074.86,002079
133,2007-06-12,2.737,2.741,2.749,2.574,33053.0,002079
134,2007-06-13,2.755,2.819,2.873,2.737,29465.29,002079
135,2007-06-14,2.838,2.792,2.856,2.778,16087.6,002079
136,2007-06-15,2.739,2.799,2.828,2.728,16173.01,002079
137,2007-06-18,2.819,2.909,2.954,2.819,25092.51,002079
138,2007-06-19,2.902,2.884,2.923,2.844,15095.63,002079
139,2007-06-20,2.88,2.861,3.054,2.844,20637.71,002079
140,2007-06-21,2.863,3.039,3.089,2.77,38803.3,002079
141,2007-06-22,3.047,2.79,3.047,2.737,24049.14,002079
142,2007-06-25,2.788,2.571,2.84,2.511,19383.87,002079
143,2007-06-26,2.546,2.654,2.654,2.494,13646.23,002079
144,2007-06-27,2.652,2.685,2.695,2.612,11301.6,002079
145,2007-06-28,2.654,2.508,2.705,2.488,10708.0,002079
146,2007-06-29,2.384,2.405,2.519,2.384,9656.58,002079
147,2007-07-02,2.405,2.475,2.484,2.397,7660.24,002079
148,2007-07-03,2.492,2.511,2.554,2.463,7705.43,002079
149,2007-07-04,2.508,2.421,2.508,2.409,4345.0,002079
150,2007-07-05,2.405,2.26,2.421,2.256,8402.35,002079
151,2007-07-06,2.318,2.374,2.397,2.233,13530.33,002079
152,2007-07-09,2.407,2.455,2.455,2.361,13457.68,002079
153,2007-07-10,2.432,2.382,2.461,2.374,8035.72,002079
154,2007-07-11,2.332,2.413,2.442,2.332,4873.23,002079
155,2007-07-12,2.426,2.411,2.432,2.384,3289.4,002079
156,2007-07-13,2.318,2.322,2.363,2.312,9201.5,002079
157,2007-07-16,2.324,2.27,2.334,2.245,5150.7,002079
158,2007-07-17,2.27,2.318,2.322,2.249,4459.89,002079
159,2007-07-18,2.316,2.32,2.336,2.297,4613.0,002079
160,2007-07-19,2.322,2.318,2.351,2.305,4395.89,002079
161,2007-07-20,2.314,2.378,2.38,2.314,7184.7,002079
162,2007-07-23,2.374,2.465,2.49,2.368,15472.82,002079
163,2007-07-24,2.467,2.455,2.498,2.448,11016.49,002079
164,2007-07-25,2.442,2.504,2.519,2.442,12941.82,002079
165,2007-07-26,2.513,2.72,2.755,2.49,46948.17,002079
166,2007-07-27,2.685,2.699,2.761,2.654,14379.41,002079
167,2007-07-30,2.699,2.892,2.923,2.699,77252.46,002079
168,2007-07-31,2.861,2.89,2.944,2.799,30984.41,002079
169,2007-08-01,2.863,2.936,3.025,2.78,43003.86,002079
170,2007-08-02,2.946,3.23,3.23,2.946,65079.52,002079
171,2007-08-03,3.334,3.553,3.553,3.276,86306.36,002079
172,2007-08-06,3.553,3.578,3.765,3.462,75002.68,002079
173,2007-08-07,3.582,3.937,3.937,3.506,89772.5,002079
174,2007-08-08,3.835,4.248,4.25,3.769,92338.66,002079
175,2007-08-09,3.823,3.823,3.823,3.823,15227.0,002079
176,2007-08-10,3.441,3.441,3.711,3.441,102989.45,002079
177,2007-08-13,3.319,3.244,3.414,3.176,71823.43,002079
178,2007-08-14,3.278,3.354,3.477,3.257,54825.06,002079
179,2007-08-15,3.358,3.437,3.514,3.195,57269.65,002079
180,2007-08-16,3.317,3.336,3.4,3.271,32707.73,002079
181,2007-08-17,3.286,3.334,3.417,3.286,22578.13,002079
182,2007-08-20,3.462,3.402,3.479,3.379,34569.04,002079
183,2007-08-21,3.479,3.441,3.479,3.334,29013.53,002079
184,2007-08-22,3.41,3.421,3.472,3.361,26160.63,002079
185,2007-08-23,3.443,3.375,3.462,3.363,29379.33,002079
186,2007-08-24,3.421,3.352,3.421,3.334,25259.52,002079
187,2007-08-27,3.338,3.251,3.379,3.242,28117.63,002079
188,2007-08-28,3.242,3.249,3.265,3.172,23011.44,002079
189,2007-08-29,3.213,3.574,3.574,3.085,78201.35,002079
190,2007-08-30,3.574,3.638,3.85,3.487,74563.83,002079
191,2007-08-31,3.64,3.562,3.688,3.504,30769.84,002079
192,2007-09-03,3.609,3.491,3.624,3.485,29310.03,002079
193,2007-09-05,3.524,3.462,3.557,3.387,20277.09,002079
194,2007-09-06,3.456,3.464,3.566,3.421,17095.72,002079
195,2007-09-07,3.466,3.35,3.466,3.317,22365.77,002079
196,2007-09-10,3.278,3.421,3.499,3.276,20977.0,002079
197,2007-09-11,3.441,3.162,3.499,3.155,17680.26,002079
198,2007-09-12,3.11,3.186,3.232,3.068,14514.76,002079
199,2007-09-13,3.199,3.224,3.247,3.13,11972.73,002079
200,2007-09-14,3.226,3.228,3.276,3.141,10795.0,002079
